,Partners,date,DairyEggHoney,Cereal,Fish,FruitNut,LiveAnimal,Meat,Vegetables,TotalBalance,Rate Per Million
752,Iceland,4/1/2020,-167.0,-2345.0,107915.0,-4145.0,854.0,-128.0,-2491.0,143415,2825.0
753,Thailand,11/1/2018,-53807.0,481732.0,-154016.0,81528.0,16701.0,69386.0,7342.0,492271,0.0
757,Norway,11/1/2018,-5568.0,-41782.0,1041392.0,-59682.0,1193.0,-5916.0,-40313.0,932729,0.0
758,Lithuania,11/1/2018,20120.0,14824.0,-9806.0,-11970.0,4305.0,-1314.0,14019.0,73583,0.0
760,United Kingdom,11/1/2018,-144070.0,-101923.0,-41690.0,-463278.0,13212.0,-294952.0,-272173.0,-1261469,0.0
761,Ireland,4/1/2020,194343.0,-22512.0,29078.0,-40484.0,-2919.0,214733.0,-20612.0,395549,633.0
762,Costa Rica,11/1/2018,7484.0,-19847.0,2417.0,159978.0,269.0,-1627.0,11537.0,203616,0.0
764,South Africa,11/1/2018,9504.0,-33728.0,3675.0,132149.0,-10404.0,-28894.0,7566.0,123273,0.0
767,Madagascar,11/1/2018,-2032.0,-20108.0,5326.0,15961.0,-31.0,15.0,1524.0,44060,0.0
768,Japan,4/1/2020,-151892.0,-462709.0,-821841.0,-366658.0,-14351.0,-1128628.0,-224783.0,-3126940,13.0
769,Paraguay,11/1/2018,-1070.0,59088.0,-345.0,-1007.0,-895.0,78606.0,-857.0,176925,0.0
775,Serbia,11/1/2018,-2280.0,29887.0,-6346.0,21023.0,-806.0,-2762.0,4910.0,87031,0.0
777,Czech Republic,11/1/2018,5514.0,36645.0,-4182.0,-52603.0,19808.0,-88256.0,-43641.0,-83310,0.0
778,Chile,11/1/2018,-11172.0,-54119.0,566749.0,173234.0,-201.0,-57128.0,120.0,660888,0.0
781,Germany,11/1/2018,6528.0,-198652.0,-255942.0,-727622.0,3005.0,46366.0,-418558.0,-1501470,0.0
783,Portugal,11/1/2018,-23169.0,-57326.0,-109146.0,19423.0,-3747.0,-86661.0,-20877.0,-238098,0.0
787,"Bolivia, Plurinational State of",11/1/2018,-1796.0,3851.0,-880.0,16695.0,-1220.0,441.0,810.0,61306,0.0
788,Georgia,11/1/2018,-4611.0,-7214.0,-2948.0,4179.0,-321.0,-5558.0,-120.0,26812,0.0
790,Lithuania,4/1/2020,15745.0,54730.0,-1416.0,-11784.0,936.0,-4544.0,-5143.0,92446,180.0
793,Malaysia,11/1/2018,-35530.0,-145364.0,-32568.0,-42969.0,10859.0,-68066.0,-47313.0,-317546,0.0
795,Barbados,11/1/2018,-2854.0,-1476.0,-1695.0,-1684.0,68.0,-2249.0,-1452.0,32063,0.0
796,Madagascar,4/1/2020,-2180.0,-4940.0,7947.0,74.0,0.0,-110.0,394.0,45107,2.0
800,Malaysia,4/1/2020,-51593.0,-125916.0,-12538.0,-44318.0,9766.0,-69632.0,-66820.0,-317129,65.0
801,Iceland,11/1/2018,-489.0,-2866.0,143420.0,-5457.0,675.0,4739.0,-2443.0,180984,0.0
804,Bosnia and Herzegovina,11/1/2018,-2618.0,-8190.0,-314.0,-1899.0,-1474.0,-16056.0,-2602.0,10252,0.0
809,El Salvador,11/1/2018,-12065.0,-18822.0,-1711.0,-10192.0,269.0,-14924.0,-6898.0,-20938,0.0
815,Greece,11/1/2018,-30088.0,-28400.0,19345.0,56508.0,-6367.0,-93006.0,-8410.0,-47013,0.0
820,"Taipei, Chinese",11/1/2018,-41456.0,-77323.0,52961.0,-59704.0,-1140.0,-109195.0,-10451.0,-202903,0.0
830,New Zealand,4/1/2020,952543.0,-23784.0,60703.0,460819.0,17534.0,441331.0,41821.0,1994889,134.0
833,Switzerland,11/1/2018,29285.0,-21967.0,-57637.0,-102200.0,-4296.0,-44301.0,-49589.0,-207300,0.0
837,"Korea, Republic of",11/1/2018,-66107.0,-273087.0,-329120.0,-98030.0,-7485.0,-406276.0,-41340.0,-1178040,0.0
840,Norway,4/1/2020,-7116.0,-15772.0,713159.0,-64037.0,-1780.0,-4987.0,-48835.0,614554,606.0
841,Japan,11/1/2018,-168659.0,-470585.0,-1017432.0,-248376.0,-25522.0,-867707.0,-211343.0,-2966219,0.0
850,Paraguay,4/1/2020,-1955.0,25354.0,-310.0,519.0,-715.0,64378.0,-3706.0,127487,9.0
858,Portugal,4/1/2020,-10767.0,-58863.0,-128937.0,-3211.0,7302.0,-55957.0,-8734.0,-215245,767.0
878,Serbia,4/1/2020,-2332.0,56243.0,-2611.0,24998.0,2670.0,-5323.0,-9024.0,108543,142.0
891,South Africa,4/1/2020,-1536.0,-114602.0,15286.0,245614.0,-3631.0,-14625.0,9546.0,179974,21.0
896,Spain,4/1/2020,-19897.0,-189540.0,-216401.0,698284.0,43202.0,625339.0,654474.0,1639383,1930.0
904,Switzerland,4/1/2020,-8509.0,-23798.0,-41692.0,-132523.0,-6200.0,-36821.0,-95563.0,-301184,1691.0
910,Thailand,4/1/2020,-35934.0,321213.0,-108508.0,594566.0,50893.0,93008.0,2882.0,962042,22.0
914,France,12/1/2018,219770.0,476216.0,-357348.0,-353475.0,169381.0,-73947.0,-59780.0,64252,0.0
915,Spain,12/1/2018,-48441.0,-364210.0,-234588.0,619815.0,-3261.0,364334.0,682496.0,1059580,0.0
916,Brazil,12/1/2018,-11669.0,617155.0,-86850.0,40145.0,32733.0,1152019.0,-17466.0,1769502,0.0
917,Canada,12/1/2018,-27196.0,608506.0,174510.0,-334816.0,55555.0,279334.0,-55875.0,743453,0.0
918,Turkey,4/1/2020,38099.0,-309051.0,47415.0,233537.0,-19826.0,51811.0,93242.0,179149,183.0
922,United States of America,12/1/2018,116424.0,1391074.0,-1381769.0,-199215.0,-178573.0,770391.0,-591643.0,-29876,0.0
925,United Kingdom,4/1/2020,-108079.0,-77376.0,-71510.0,-542533.0,6630.0,-202599.0,-379770.0,-1331315,562.0
926,Australia,12/1/2018,99463.0,467596.0,23403.0,29740.0,131999.0,903842.0,63301.0,1762779,0.0
928,Turkey,12/1/2018,55570.0,-136269.0,63052.0,395217.0,-94667.0,39479.0,92733.0,458550,0.0
930,Ireland,12/1/2018,181125.0,-36343.0,31768.0,-37210.0,9008.0,272110.0,-22772.0,441121,0.0
931,Argentina,12/1/2018,93682.0,788881.0,135964.0,9631.0,-760.0,216145.0,51369.0,1338347,0.0
932,New Zealand,12/1/2018,1282508.0,-21392.0,84801.0,-1596.0,10132.0,429346.0,11319.0,1838553,0.0
933,Russian Federation,12/1/2018,-183276.0,913923.0,192094.0,-599893.0,-31332.0,-159557.0,-145507.0,29887,0.0
934,Thailand,12/1/2018,-29879.0,472778.0,-124877.0,125019.0,21324.0,61175.0,-17086.0,551889,0.0
936,United Kingdom,12/1/2018,-162030.0,-107307.0,-10655.0,-452514.0,-3885.0,-275532.0,-302108.0,-1270596,0.0
938,Lithuania,12/1/2018,20202.0,32138.0,-1536.0,-18982.0,2155.0,885.0,-1979.0,76318,0.0
940,Norway,12/1/2018,-4394.0,-22923.0,901598.0,-57044.0,-2195.0,-10912.0,-35192.0,812373,0.0
941,Costa Rica,12/1/2018,6549.0,-34199.0,1275.0,160138.0,-158.0,-3198.0,4368.0,178210,0.0
943,South Africa,12/1/2018,9139.0,-18168.0,14033.0,167627.0,-6347.0,-14815.0,10096.0,205000,0.0
944,Madagascar,12/1/2018,-1657.0,-11188.0,4699.0,1616.0,-88.0,-34.0,1289.0,38072,0.0
945,Paraguay,12/1/2018,-1440.0,42022.0,-415.0,-587.0,-1269.0,92292.0,-1091.0,172947,0.0
948,Czech Republic,12/1/2018,17260.0,18682.0,-6183.0,-51859.0,23754.0,-82828.0,-43949.0,-81688,0.0
949,Argentina,5/1/2020,69830.0,770700.0,132040.0,110563.0,-1351.0,300933.0,54565.0,1481232,41.0
950,Serbia,12/1/2018,-3231.0,49191.0,-5388.0,14494.0,-1449.0,-6092.0,613.0,91573,0.0
954,Australia,5/1/2020,46731.0,242162.0,29928.0,89937.0,130860.0,855250.0,80508.0,1519328,10.0
955,Germany,12/1/2018,33808.0,-155807.0,-216997.0,-666592.0,-11785.0,22004.0,-498527.0,-1450461,0.0
958,Chile,12/1/2018,-10295.0,-85896.0,540918.0,419009.0,286.0,-61287.0,7529.0,853699,0.0
959,Portugal,12/1/2018,-25621.0,-68767.0,-81411.0,10834.0,-3780.0,-93265.0,-26976.0,-245551,0.0
963,Barbados,5/1/2020,-2151.0,-501.0,-827.0,-1829.0,-447.0,-2472.0,-1238.0,34487,21.0
964,"Bolivia, Plurinational State of",12/1/2018,-419.0,6633.0,-883.0,14989.0,-1208.0,532.0,315.0,63394,0.0
965,Georgia,12/1/2018,-5245.0,-8871.0,-4054.0,9971.0,-268.0,-6921.0,-600.0,27447,0.0
971,Malaysia,12/1/2018,-45051.0,-117591.0,-25688.0,-52562.0,10375.0,-68645.0,-51117.0,-306844,0.0
973,Barbados,12/1/2018,-2685.0,-424.0,-1506.0,-1762.0,35.0,-2103.0,-1940.0,33050,0.0
974,Bosnia and Herzegovina,5/1/2020,-1991.0,-6077.0,-810.0,-5437.0,-2667.0,-9851.0,-4808.0,12311,174.0
976,Iceland,12/1/2018,-165.0,-1628.0,153744.0,-4369.0,1595.0,-280.0,-2959.0,189373,0.0
977,Brazil,5/1/2020,-8591.0,-82884.0,-25264.0,35697.0,18817.0,1447157.0,-53224.0,1375660,273.0
981,Bosnia and Herzegovina,12/1/2018,-2912.0,-6900.0,-1500.0,-3044.0,-1897.0,-10458.0,-3084.0,13640,0.0
988,El Salvador,12/1/2018,-14368.0,-34379.0,-838.0,-12666.0,225.0,-17110.0,-9161.0,-44862,0.0
989,Canada,5/1/2020,-4838.0,769913.0,358830.0,-411954.0,83624.0,403920.0,251158.0,1494605,622.0
992,Greece,12/1/2018,-17372.0,-15328.0,23851.0,71851.0,-5039.0,-96923.0,-10134.0,-5659,0.0
994,Chile,5/1/2020,-16939.0,-44669.0,377642.0,388944.0,104.0,48809.0,260.0,798103,468.0
999,"Taipei, Chinese",12/1/2018,-47680.0,-97235.0,29549.0,-55088.0,-778.0,-120487.0,-6259.0,-254543,0.0
1003,Costa Rica,5/1/2020,10497.0,-40703.0,-269.0,200257.0,-103.0,3162.0,10195.0,226988,15.0
1010,Switzerland,12/1/2018,7906.0,-20962.0,-59070.0,-97553.0,1146.0,-48863.0,-64179.0,-238140,0.0
1012,"Korea, Republic of",12/1/2018,-63924.0,-290746.0,-355973.0,-83177.0,-8208.0,-310035.0,-45113.0,-1113741,0.0
1017,Japan,12/1/2018,-147642.0,-499912.0,-1091629.0,-184299.0,-54755.0,-788705.0,-204741.0,-2928248,0.0
1023,El Salvador,5/1/2020,-16576.0,-29966.0,180.0,-6034.0,199.0,-15889.0,-11249.0,-35383,38.0
1039,France,5/1/2020,194476.0,481687.0,-251039.0,-458759.0,145942.0,-82792.0,-145189.0,-71722,330.0
1044,Georgia,5/1/2020,-6309.0,-14950.0,-1767.0,23.0,-481.0,-6424.0,-4786.0,9258,49.0
1046,Germany,5/1/2020,137841.0,-10157.0,-200987.0,-869398.0,-75152.0,146025.0,-545067.0,-1372943,270.0
1049,Greece,5/1/2020,22161.0,-18931.0,41088.0,43434.0,-4653.0,-80037.0,11863.0,58877,37.0
1065,Iceland,5/1/2020,36.0,-502.0,154435.0,-4591.0,552.0,-532.0,-2630.0,190720,128.0
1074,Ireland,5/1/2020,246449.0,-29724.0,44507.0,-45013.0,7669.0,190300.0,-31741.0,426399,1375.0
1081,Japan,5/1/2020,-146055.0,-492146.0,-618936.0,-420643.0,-9738.0,-844721.0,-180710.0,-2668997,36.0
1096,France,1/1/2019,184250.0,569098.0,-330828.0,-351685.0,182293.0,-137668.0,-61512.0,97414,0.0
1097,Spain,1/1/2019,-34766.0,-315316.0,-288736.0,456584.0,2604.0,439639.0,860349.0,1163824,0.0
1099,Brazil,1/1/2019,-24794.0,582841.0,-104910.0,42199.0,23761.0,913547.0,-32369.0,1443741,0.0
1100,Canada,1/1/2019,-20597.0,450980.0,103369.0,-350002.0,87819.0,272553.0,-30132.0,557456,0.0
1103,Lithuania,5/1/2020,13054.0,20736.0,-810.0,-14850.0,4919.0,-1662.0,-3055.0,62284,126.0
1104,United States of America,1/1/2019,144957.0,1330260.0,-1252064.0,-792836.0,-198070.0,553457.0,-761650.0,-932480,0.0
1106,Australia,1/1/2019,49695.0,365922.0,43771.0,36345.0,91302.0,561171.0,58444.0,1250116,0.0
1109,Madagascar,5/1/2020,-2399.0,-20504.0,12009.0,-44.0,-37.0,-5.0,792.0,33764,1.0
1110,Turkey,1/1/2019,58423.0,-210286.0,74695.0,300849.0,-70862.0,35269.0,82817.0,314371,0.0
1112,Ireland,1/1/2019,137127.0,-46207.0,33479.0,-36622.0,5130.0,224616.0,-25490.0,335499,0.0
1113,Malaysia,5/1/2020,-46680.0,-161856.0,-9619.0,-45698.0,10693.0,-41962.0,-48560.0,-299730,25.0
1114,Argentina,1/1/2019,68431.0,886274.0,160189.0,-6018.0,2338.0,195831.0,58854.0,1409365,0.0
1116,New Zealand,1/1/2019,1000658.0,-23910.0,69018.0,33511.0,7728.0,400392.0,19432.0,1550295,0.0
1117,Russian Federation,1/1/2019,-214338.0,631970.0,160493.0,-429504.0,-6215.0,-108909.0,-117669.0,-40706,0.0
1119,Thailand,1/1/2019,-35023.0,383176.0,-188872.0,145472.0,19083.0,47921.0,-61723.0,353500,0.0
1120,United Kingdom,1/1/2019,-112652.0,-102834.0,-128887.0,-513031.0,13125.0,-279627.0,-372571.0,-1453011,0.0
1124,Lithuania,1/1/2019,22157.0,40873.0,-7111.0,-15190.0,2778.0,1500.0,502.0,88975,0.0
1127,Costa Rica,1/1/2019,9257.0,-21289.0,-569.0,167448.0,107.0,-1922.0,7819.0,204317,0.0
1128,Norway,1/1/2019,-6483.0,-18372.0,879491.0,-61372.0,-813.0,-7040.0,-44654.0,784223,0.0
1130,Czech Republic,1/1/2019,9206.0,22051.0,-14461.0,-49995.0,25612.0,-80366.0,-54553.0,-99040,0.0
1131,Madagascar,1/1/2019,-2118.0,-10147.0,594.0,260.0,-73.0,-14.0,627.0,32595,0.0
1133,Paraguay,1/1/2019,-1673.0,31360.0,-415.0,-184.0,-636.0,84220.0,-1397.0,154741,0.0
1136,South Africa,1/1/2019,5786.0,-36406.0,-1066.0,226819.0,-5505.0,-30562.0,10679.0,213211,0.0
1138,Serbia,1/1/2019,-406.0,44988.0,-3133.0,19193.0,-575.0,-6405.0,-1205.0,95923,0.0
1143,New Zealand,5/1/2020,820884.0,-19279.0,67010.0,369538.0,-2395.0,453055.0,23351.0,1756116,15.0
1144,Germany,1/1/2019,128522.0,-183703.0,-276919.0,-703517.0,-27065.0,96739.0,-587470.0,-1509947,0.0
1148,Portugal,1/1/2019,-20752.0,-69850.0,-80355.0,-5417.0,1203.0,-94678.0,-33325.0,-259708,0.0
1152,Chile,1/1/2019,-1401.0,-77426.0,665315.0,1028745.0,-919.0,-31739.0,12285.0,1638326,0.0
1153,Norway,5/1/2020,-6475.0,-12462.0,724363.0,-79378.0,-884.0,-4194.0,-38918.0,626004,155.0
1154,"Bolivia, Plurinational State of",1/1/2019,-1421.0,2995.0,-1167.0,11533.0,-1068.0,487.0,1005.0,55830,0.0
1155,Georgia,1/1/2019,-4949.0,-8672.0,-2666.0,1054.0,-564.0,-6535.0,-1832.0,19302,0.0
1159,Malaysia,1/1/2019,-38893.0,-141921.0,-41270.0,-90657.0,16990.0,-67044.0,-56516.0,-375845,0.0
1161,Barbados,1/1/2019,-2644.0,-2322.0,-1979.0,-1481.0,144.0,-2256.0,-1518.0,31410,0.0
1163,Paraguay,5/1/2020,-1615.0,30588.0,-134.0,214.0,-848.0,77937.0,-2604.0,147490,18.0
1164,Iceland,1/1/2019,-325.0,-1701.0,169547.0,-4214.0,428.0,-510.0,-2660.0,204031,0.0
1168,Bosnia and Herzegovina,1/1/2019,-2889.0,-8243.0,-293.0,-3592.0,-1972.0,-11514.0,-3737.0,11226,0.0
1171,Portugal,5/1/2020,-21057.0,-48074.0,-103588.0,-4608.0,14231.0,-61418.0,-250.0,-180812,622.0
1176,El Salvador,1/1/2019,-11808.0,-16584.0,415.0,-7862.0,21.0,-11800.0,-8172.0,-12324,0.0
1180,Greece,1/1/2019,-11148.0,-34430.0,11782.0,53420.0,-2452.0,-92541.0,-13679.0,-45582,0.0
1187,"Taipei, Chinese",1/1/2019,-48342.0,-143569.0,29012.0,-89972.0,-434.0,-153933.0,-8118.0,-371890,0.0
1191,Serbia,5/1/2020,-748.0,57904.0,-2468.0,37825.0,961.0,-6117.0,-11002.0,120307,483.0
1197,Switzerland,1/1/2019,10131.0,-41815.0,-47277.0,-102427.0,-11782.0,-38833.0,-73260.0,-261797,0.0
1202,"Korea, Republic of",1/1/2019,-83186.0,-382689.0,-364941.0,-112708.0,-2416.0,-651895.0,-44408.0,-1598777,0.0
1204,South Africa,5/1/2020,-4458.0,-27681.0,26891.0,291678.0,-1241.0,-11710.0,8550.0,325981,53.0
1206,Japan,1/1/2019,-141885.0,-494636.0,-1020724.0,-178962.0,-19926.0,-747012.0,-213219.0,-2772898,0.0
1209,Spain,5/1/2020,-33750.0,-120438.0,-225847.0,842969.0,18902.0,595037.0,430808.0,1551633,521.0
1217,Switzerland,5/1/2020,-11179.0,-36722.0,-45042.0,-139104.0,-5802.0,-43628.0,-69831.0,-307356,301.0
1223,Thailand,5/1/2020,-38926.0,240367.0,-107997.0,735376.0,69258.0,92823.0,61119.0,1095972,4.0
1231,Turkey,5/1/2020,28357.0,-306151.0,60247.0,208613.0,-7651.0,34755.0,78390.0,140512,516.0
1238,United Kingdom,5/1/2020,-123901.0,-82300.0,-63361.0,-542439.0,-10062.0,-170420.0,-358510.0,-1307041,963.0
1262,Argentina,6/1/2020,71894.0,829760.0,118738.0,71454.0,702.0,252972.0,52832.0,1442335,198.0
1267,Australia,6/1/2020,85579.0,296311.0,7847.0,90829.0,118591.0,822153.0,64162.0,1529455,6.0
1272,France,2/1/2019,199217.0,615109.0,-301183.0,-332810.0,152623.0,-98285.0,-65589.0,212579,0.0
1274,Spain,2/1/2019,-33875.0,-155589.0,-242512.0,488327.0,290.0,420234.0,753840.0,1274212,0.0
1275,Brazil,2/1/2019,-35089.0,168794.0,-120812.0,16959.0,33515.0,1041133.0,-40816.0,1107181,0.0
1276,Barbados,6/1/2020,-1936.0,-2165.0,-733.0,-1515.0,147.0,-1263.0,-1172.0,35346,14.0
1277,Canada,2/1/2019,-17408.0,398183.0,104859.0,-317152.0,106149.0,290838.0,24094.0,633060,0.0
1282,United States of America,2/1/2019,181198.0,1310331.0,-922291.0,-573988.0,-187364.0,591598.0,-612348.0,-169367,0.0
1285,Australia,2/1/2019,68168.0,362522.0,27722.0,61119.0,99457.0,790248.0,75327.0,1528060,0.0
1287,Bosnia and Herzegovina,6/1/2020,-3593.0,-6304.0,-851.0,-6503.0,-3153.0,-11310.0,-1695.0,10574,67.0
1288,Turkey,2/1/2019,54117.0,-178532.0,67924.0,259953.0,-31491.0,36848.0,80476.0,332792,0.0
1289,Ireland,2/1/2019,130143.0,-54028.0,47716.0,-33570.0,9718.0,230911.0,-24333.0,350054,0.0
1290,Brazil,6/1/2020,-12546.0,5479.0,-16771.0,21750.0,30463.0,1279641.0,-38809.0,1313190,1267.0
1291,Argentina,2/1/2019,57721.0,646998.0,163787.0,38236.0,14.0,200015.0,58164.0,1208432,0.0
1292,New Zealand,2/1/2019,883454.0,-33936.0,108023.0,-460.0,9323.0,555074.0,39145.0,1604120,0.0
1294,Russian Federation,2/1/2019,-207189.0,582097.0,120793.0,-411345.0,-8605.0,-128557.0,-158644.0,-167953,0.0
1296,Thailand,2/1/2019,-54112.0,291608.0,-127968.0,161114.0,13118.0,66823.0,-7468.0,386612,0.0
1298,United Kingdom,2/1/2019,-143782.0,-96929.0,-75042.0,-482818.0,16675.0,-251330.0,-348411.0,-1338140,0.0
1301,Lithuania,2/1/2019,22557.0,67624.0,-9411.0,-13942.0,1982.0,2222.0,-1484.0,113045,0.0
1302,Canada,6/1/2020,-7329.0,532409.0,580648.0,-435923.0,85349.0,350701.0,274293.0,1424131,349.0
1304,Costa Rica,2/1/2019,4619.0,-28132.0,1743.0,172681.0,-30.0,753.0,9846.0,204977,0.0
1305,Czech Republic,2/1/2019,18087.0,20570.0,-8008.0,-47592.0,23140.0,-75921.0,-52812.0,-79039,0.0
1307,Chile,6/1/2020,-20948.0,-37652.0,343288.0,333289.0,-897.0,39056.0,-6911.0,693208,3871.0
1308,Norway,2/1/2019,-3179.0,-21935.0,841659.0,-57586.0,-1043.0,-6047.0,-39754.0,755612,0.0
1310,Madagascar,2/1/2019,-2867.0,-13893.0,2121.0,181.0,-73.0,-17.0,476.0,29425,0.0
1312,Paraguay,2/1/2019,-551.0,36609.0,-325.0,-754.0,-831.0,77264.0,-1276.0,153633,0.0
1315,Serbia,2/1/2019,-2063.0,55803.0,-2610.0,23107.0,-286.0,-6207.0,-2846.0,108395,0.0
1316,Costa Rica,6/1/2020,10656.0,-43773.0,-1095.0,178661.0,-153.0,2095.0,4686.0,195060,42.0
1317,South Africa,2/1/2019,6944.0,-42761.0,20471.0,227407.0,-8487.0,-31614.0,11368.0,226825,0.0
1320,Germany,2/1/2019,95512.0,-154147.0,-237162.0,-698232.0,-29887.0,93721.0,-615936.0,-1502634,0.0
1324,Portugal,2/1/2019,-11737.0,-67053.0,-62057.0,-8435.0,2147.0,-79039.0,-18860.0,-201537,0.0
1328,Chile,2/1/2019,-16066.0,-99851.0,500507.0,521350.0,41.0,-17752.0,5986.0,937712,0.0
1330,"Bolivia, Plurinational State of",2/1/2019,4.0,2884.0,-1001.0,10470.0,-760.0,635.0,2096.0,57825,0.0
1332,Malaysia,2/1/2019,-33762.0,-130005.0,-24369.0,-29578.0,12525.0,-59065.0,-31663.0,-252420,0.0
1334,Georgia,2/1/2019,-5782.0,-9372.0,-2109.0,1085.0,210.0,-5919.0,-2070.0,19540,0.0
1336,El Salvador,6/1/2020,-23765.0,-34653.0,-227.0,-6204.0,290.0,-13600.0,-14579.0,-48755,179.0
1339,Barbados,2/1/2019,-2720.0,-342.0,-1555.0,-1880.0,-126.0,-2414.0,-1662.0,32798,0.0
1343,Iceland,2/1/2019,-188.0,-1369.0,142113.0,-4748.0,408.0,-7.0,-2987.0,176719,0.0
1346,Bosnia and Herzegovina,2/1/2019,-3499.0,-11478.0,-519.0,-3388.0,-1494.0,-10757.0,-6273.0,6089,0.0
1352,France,6/1/2020,189874.0,548219.0,-345342.0,-443854.0,180477.0,-126987.0,-134693.0,-88323,137.0
1354,El Salvador,2/1/2019,-13057.0,-18348.0,-1213.0,-7653.0,189.0,-12090.0,-7542.0,-16217,0.0
1357,Georgia,6/1/2020,-5388.0,-3650.0,-1775.0,592.0,285.0,-7432.0,-1508.0,25107,23.0
1359,Germany,6/1/2020,134422.0,-95453.0,-231471.0,-938649.0,-44339.0,111875.0,-493248.0,-1512880,84.0
1361,Greece,2/1/2019,-14447.0,-32994.0,-2902.0,44067.0,-3000.0,-93146.0,-27075.0,-86000,0.0
1362,Greece,6/1/2020,23316.0,-19097.0,45898.0,118198.0,-5729.0,-94757.0,-2833.0,108979,8.0
1366,"Taipei, Chinese",2/1/2019,-39476.0,-57341.0,47602.0,-19056.0,-878.0,-83588.0,-2318.0,-111558,0.0
1374,Switzerland,2/1/2019,3694.0,-26604.0,-42986.0,-90085.0,-8248.0,-42101.0,-67766.0,-230599,0.0
1378,Iceland,6/1/2020,-468.0,-2704.0,160311.0,-5685.0,361.0,-931.0,-3137.0,191730,12.0
1379,"Korea, Republic of",2/1/2019,-79167.0,-216350.0,-211209.0,-98623.0,-3181.0,-349612.0,-30276.0,-944921,0.0
1384,Japan,2/1/2019,-152513.0,-508155.0,-657405.0,-207850.0,-20114.0,-780801.0,-180339.0,-2463680,0.0
1387,Ireland,6/1/2020,295622.0,-20743.0,39323.0,-42867.0,12004.0,249312.0,-18965.0,557669,173.0
1394,Japan,6/1/2020,-162967.0,-448200.0,-660406.0,-360657.0,-11739.0,-845277.0,-179496.0,-2624759,4.0
1416,Lithuania,6/1/2020,21808.0,31904.0,2623.0,-14929.0,3568.0,-4928.0,-5696.0,78333,45.0
1422,Madagascar,6/1/2020,-2772.0,-13623.0,14669.0,242.0,0.0,-17.0,2134.0,44616,18.0
1426,Malaysia,6/1/2020,-34088.0,-170667.0,-11069.0,-30541.0,11946.0,-49292.0,-52244.0,-291972,28.0
1456,New Zealand,6/1/2020,800034.0,-23620.0,60959.0,276985.0,11709.0,445620.0,10420.0,1626090,1.0
1463,France,3/1/2019,218361.0,784977.0,-335075.0,-332792.0,168790.0,-127381.0,-36222.0,384183,0.0
1464,Spain,3/1/2019,-39074.0,-236924.0,-289044.0,629848.0,-1846.0,467930.0,799049.0,1373464,0.0
1465,Brazil,3/1/2019,-17095.0,9156.0,-119440.0,10394.0,38257.0,1098234.0,-39081.0,1023950,0.0
1466,Norway,6/1/2020,-11065.0,-16498.0,809061.0,-77218.0,-1521.0,-11402.0,-37153.0,698187,35.0
1467,Canada,3/1/2019,-17492.0,545012.0,111991.0,-357396.0,128265.0,352269.0,-63399.0,742775,0.0
1471,United States of America,3/1/2019,221583.0,1335231.0,-873676.0,-616098.0,-200231.0,601621.0,-697682.0,-185727,0.0
1473,Australia,3/1/2019,70898.0,370652.0,23947.0,103760.0,105087.0,960673.0,75588.0,1754130,0.0
1475,Turkey,3/1/2019,67934.0,-284466.0,86237.0,221019.0,-55227.0,42787.0,67769.0,189578,0.0
1476,Paraguay,6/1/2020,968.0,49503.0,-201.0,252.0,-1016.0,100073.0,-2486.0,191076,29.0
1477,Ireland,3/1/2019,139701.0,-37009.0,51015.0,-39053.0,19982.0,257915.0,-23202.0,412874,0.0
1479,Argentina,3/1/2019,56695.0,860536.0,167316.0,44827.0,-553.0,213391.0,39474.0,1425211,0.0
1481,New Zealand,3/1/2019,945688.0,-10528.0,112459.0,118405.0,20133.0,596643.0,58872.0,1885197,0.0
1483,Russian Federation,3/1/2019,-224209.0,542164.0,275086.0,-429332.0,-41305.0,-143029.0,-188535.0,-165635,0.0
1484,Portugal,6/1/2020,-23754.0,-51096.0,-105827.0,-12115.0,3145.0,-71623.0,3976.0,-213311,343.0
1485,Thailand,3/1/2019,-36464.0,369140.0,-126578.0,230583.0,19578.0,73336.0,30820.0,603940,0.0
1486,United Kingdom,3/1/2019,-141292.0,-98500.0,-63767.0,-556897.0,14699.0,-288248.0,-387610.0,-1478090,0.0
1489,Lithuania,3/1/2019,19446.0,11721.0,8454.0,-12392.0,1668.0,-520.0,490.0,72392,0.0
1491,Costa Rica,3/1/2019,7639.0,-23627.0,-2405.0,202204.0,-403.0,-324.0,9064.0,235673,0.0
1493,Czech Republic,3/1/2019,17551.0,16756.0,-7305.0,-54499.0,25222.0,-86219.0,-58920.0,-103889,0.0
1497,Paraguay,3/1/2019,-1508.0,35515.0,-470.0,-502.0,-779.0,82399.0,-1349.0,156831,0.0
1498,Madagascar,3/1/2019,-1252.0,-19895.0,4371.0,152.0,-47.0,1.0,507.0,27362,0.0
1500,Norway,3/1/2019,-3698.0,-25347.0,997077.0,-65231.0,-166.0,-6980.0,-44805.0,894375,0.0
1503,Serbia,3/1/2019,-2793.0,65493.0,-3669.0,26034.0,606.0,-5666.0,-4963.0,118567,0.0
1504,Serbia,6/1/2020,-4464.0,67701.0,-1948.0,42003.0,2106.0,-8930.0,-3530.0,136921,106.0
1507,South Africa,3/1/2019,5665.0,-39468.0,13169.0,217471.0,-13446.0,-28774.0,14874.0,213016,0.0
1508,Germany,3/1/2019,143591.0,-131913.0,-229679.0,-674017.0,-28189.0,68844.0,-576059.0,-1383897,0.0
